date,trend,ipca,selic,IBC-Br,icom,expectativa,dolar,icon,ibov,open,high,low,close,adjclose,volume,ticker
2012-03-01,Uptrend,0.21,9.919354838709678,"146,35","107,9","165,79","1,7947",2003.75,64511,10.737519264221191,11.055643081665039,10.042237281799316,10.281649589538574,8.283408164978027,111417936,LREN3.SA
2012-04-01,Uptrend,0.64,9.45,"139,85","105,2","166,17","1,854225",2055.24,61820,10.365281105041504,10.575177192687988,9.373191833496094,10.04715633392334,8.112957954406738,136180457,LREN3.SA
2012-05-01,Uptrend,0.36,8.983870967741936,"144,56","104,1","167,62","1,98538636363636",1895.09,54490,10.04715633392334,10.565338134765625,9.068185806274414,9.53553295135498,7.869821548461914,125685383,LREN3.SA
2012-06-01,Uptrend,0.08,8.5,"142,28","105,8","164,11","2,04857",1934.4,54355,9.48141860961914,9.976643562316895,8.759900093078613,9.240365982055664,7.626217842102051,94921577,LREN3.SA
2012-07-01,Uptrend,0.43,8.17741935483871,"147,46",106,"162,04","2,02815",1975.81,56097,9.192811965942383,10.222617149353027,8.609037399291992,10.04715633392334,8.31308364868164,106255773,LREN3.SA
2012-08-01,Uptrend,0.41,7.967741935483871,"149,91",104,"156,75","2,0288652173913",2040.51,57061,10.05207633972168,11.255701065063477,9.63392162322998,10.973652839660645,9.079673767089844,126323869,LREN3.SA
2012-09-01,Uptrend,0.57,7.5,"141,6",107,"159,01","2,0275",2151.05,59176,11.02940559387207,12.237951278686523,10.742438316345215,11.134354591369629,9.21263599395752,109664079,LREN3.SA
2012-10-01,Uptrend,0.59,7.330645161290323,"147,71","104,7","162,68","2,02928181818182",2249.42,57068,11.065482139587402,12.815167427062988,11.0638427734375,12.3314208984375,10.224217414855957,141194432,LREN3.SA
2012-11-01,Uptrend,0.6,7.25,"144,15","104,3","164,56","2,067195",2310.74,57475,12.316661834716797,13.061139106750488,12.077248573303223,12.815167427062988,10.625297546386719,75518190,LREN3.SA
2012-12-01,Uptrend,0.79,7.25,"139,52","103,2","162,94","2,07724",2377.83,60952,12.926673889160156,13.334988594055176,12.647905349731445,13.077536582946777,10.842830657958984,68929038,LREN3.SA
2013-01-01,Downtrend,0.86,7.25,"139,32","101,7","163,54","2,03047727272727",2482.02,59761,13.077536582946777,13.32351016998291,12.560995101928711,13.070978164672852,10.857711791992188,80185784,LREN3.SA
2013-02-01,Downtrend,0.6,7.25,"136,14","102,8","165,78","1,97267777777778",2435.74,57424,13.133291244506836,13.14640998840332,11.937865257263184,12.357658386230469,10.26517391204834,90756478,LREN3.SA
2013-03-01,Downtrend,0.47,7.25,"148,01","102,8","162,84","1,98227",2364.45,56352,12.242871284484863,12.544596672058105,11.557427406311035,12.436368942260742,10.330556869506836,106390541,LREN3.SA
